Name	YT Scope Project	
File	H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V.csv	
Starttime of export	133014769934170000	dinsdag 5 juli 2022	08:43:13.417
Endtime of export	133014770253842131	dinsdag 5 juli 2022	08:43:45.384


Name	AI_df1	Name	AI_df2	Name	AI_dPtie1
SymbolComment	frequency area 1	SymbolComment	frequency area 2	SymbolComment	tie-line power flow
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	61472	IndexGroup	61472
IndexOffset	385000	IndexOffset	385002	IndexOffset	385004
SymbolName	MAIN.AI_df1	SymbolName	MAIN.AI_df2	SymbolName	MAIN.AI_dPtie1
NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-5	0	-2	0	-13
10	-5	10	0	10	-15
20	-4	20	-3	20	-14
30	-4	30	-4	30	-13
40	-5	40	-4	40	-12
50	-5	50	-3	50	-11
60	-4	60	-3	60	-12
70	-5	70	-2	70	-14
80	-5	80	1	80	-17
90	-5	90	-3	90	-14
100	-5	100	-3	100	-13
110	-5	110	-2	110	-13
120	-5	120	-2	120	-14
130	-6	130	0	130	-15
140	-5	140	-2	140	-14
150	-5	150	-2	150	-14
160	-5	160	-2	160	-15
170	-4	170	-3	170	-14
180	-4	180	-3	180	-14
190	-5	190	-4	190	-14
200	-6	200	-5	200	-14
210	-6	210	-3	210	-14
220	-5	220	0	220	-14
230	-4	230	-3	230	-14
240	-5	240	-2	240	-14
250	-4	250	0	250	-14
260	-4	260	-2	260	-14
270	-5	270	-3	270	-13
280	-4	280	-4	280	-15
290	-4	290	-3	290	-15
300	-3	300	-3	300	-14
310	-3	310	-5	310	-14
320	-4	320	-4	320	-13
330	-4	330	-3	330	-14
340	-5	340	-2	340	-14
350	-4	350	1	350	-12
360	-4	360	1	360	-13
370	-4	370	1	370	-14
380	-4	380	-4	380	-15
390	-3	390	-4	390	-15
400	-3	400	1	400	-13
410	-3	410	0	410	-13
420	-3	420	-2	420	-15
430	-5	430	-2	430	-15
440	-4	440	-2	440	-13
450	-3	450	-2	450	-13
460	-4	460	-4	460	-14
470	-5	470	-2	470	-15
480	-5	480	-2	480	-14
490	-5	490	-4	490	-14
500	-4	500	-5	500	-15
