Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V_2.csv" 
"Starttime of export" 133014769934170000 "dinsdag 5 juli 2022" 08:43:13.417 
"Endtime of export" 133014770241547049 "dinsdag 5 juli 2022" 08:43:44.154 


Name AI_df1 AI_df2 AI_dPtie1

0 -5 -2 -13
10 -5 0 -15
20 -4 -3 -14
30 -4 -4 -13
40 -5 -4 -12
50 -5 -3 -11
60 -4 -3 -12
70 -5 -2 -14
80 -5 1 -17
90 -5 -3 -14
100 -5 -3 -13
110 -5 -2 -13
120 -5 -2 -14
130 -6 0 -15
140 -5 -2 -14
150 -5 -2 -14
160 -5 -2 -15
170 -4 -3 -14
180 -4 -3 -14
190 -5 -4 -14
200 -6 -5 -14
210 -6 -3 -14
220 -5 0 -14
230 -4 -3 -14
240 -5 -2 -14
250 -4 0 -14
260 -4 -2 -14
270 -5 -3 -13
280 -4 -4 -15
290 -4 -3 -15
300 -3 -3 -14
310 -3 -5 -14
320 -4 -4 -13
330 -4 -3 -14
340 -5 -2 -14
350 -4 1 -12
360 -4 1 -13
370 -4 1 -14
380 -4 -4 -15
390 -3 -4 -15
400 -3 1 -13
410 -3 0 -13
420 -3 -2 -15
430 -5 -2 -15
440 -4 -2 -13
450 -3 -2 -13
460 -4 -4 -14
470 -5 -2 -15
480 -5 -2 -14
490 -5 -4 -14
500 -4 -5 -15
510 -3 -5 -17
520 -5 -3 -18
530 -3 -2 -17
540 -3 -3 -17
550 -4 -3 -15
560 -4 -3 -14
570 -3 -3 -15
580 -3 -2 -13
590 -5 0 -14
600 -5 0 -17
610 -5 -2 -17
620 -5 -4 -17
630 -5 -4 -15
640 -5 -3 -14
650 -3 0 -14
660 -5 0 -17
670 -6 -3 -17
680 -4 -3 -15
690 -3 -3 -17
700 -4 -4 -18
710 -4 -5 -15
720 -5 -5 -17
730 -4 -4 -18
740 -3 -3 -17
750 -4 -6 -15
760 -4 -4 -15
770 -4 -2 -15
780 -2 -2 -14
790 -2 -3 -14
800 -4 -3 -13
810 -4 0 -15
820 -3 0 -13
830 -4 -2 -11
840 -4 -2 -13
850 -4 -3 -13
860 -3 -4 -12
870 -3 -5 -14
880 -3 -4 -13
890 -2 0 -13
900 -5 0 -13
910 -6 -2 -15
920 -5 -2 -15
930 -3 -3 -12
940 -3 -4 -13
950 -3 -2 -15
960 -3 0 -15
970 -3 0 -14
980 -4 -2 -14
990 -6 -3 -13
1000 -4 -3 -14
1010 -4 -4 -17
1020 -4 -3 -15
1030 -4 -2 -14
1040 -6 -2 -14
1050 -5 -2 -13
1060 0 0 -12
1070 0 0 -12
1080 -4 -3 -14
1090 -5 -2 -15
1100 -4 0 -14
1110 -4 -3 -13
1120 -3 -3 -14
1130 -4 0 -14
1140 -4 0 -15
1150 -4 -2 -13
1160 -3 -2 -13
1170 -3 -4 -15
1180 -3 -3 -14
1190 -3 -3 -15
1200 -3 -5 -14
1210 -5 -4 -15
1220 -6 -4 -15
1230 -3 -2 -14
1240 -3 1 -14
1250 -2 0 -13
1260 -2 -3 -14
1270 -3 1 -15
1280 -5 1 -17
1290 -5 0 -15
1300 -4 -2 -14
1310 -4 -2 -14
1320 -4 -2 -13
1330 -5 0 -13
1340 -4 1 -14
1350 -4 -2 -14
1360 -5 -4 -14
1370 -5 -3 -15
1380 -5 -4 -15
1390 -5 -5 -13
1400 -5 -2 -11
1410 -4 -2 -14
1420 -5 -4 -14
1430 -5 -6 -12
1440 -5 -5 -14
1450 -4 -3 -14
1460 -4 -3 -14
1470 -4 -3 -15
1480 -4 -5 -15
1490 -4 -4 -13
1500 -3 0 -14
1510 -2 1 -15
1520 -3 -2 -14
1530 -4 -3 -14
1540 -4 -3 -15
1550 -5 -5 -17
1560 -5 -4 -15
1570 -6 -2 -13
1580 -6 1 -13
1590 -4 -4 -12
1600 -5 -5 -13
1610 -6 -2 -14
1620 -4 -3 -15
1630 -3 -4 -17
1640 -3 -3 -17
1650 -3 -3 -15
1660 -5 -4 -14
1670 -5 -3 -14
1680 -5 -2 -14
1690 -4 -3 -14
1700 -3 0 -14
1710 -4 0 -14
1720 -5 -4 -15
1730 -4 -4 -14
1740 -3 0 -12
1750 -3 0 -14
1760 -3 -2 -17
1770 -4 -4 -15
1780 -4 -4 -17
1790 -4 -3 -15
1800 -4 -4 -13
1810 -5 -4 -13
1820 -4 -3 -14
1830 -3 -4 -15
1840 -4 -2 -13
1850 -6 1 -14
1860 -6 0 -17
1870 -4 -2 -17
1880 -3 -2 -15
1890 -2 -2 -15
1900 0 -4 -15
1910 0 -3 -13
1920 -2 -2 -11
1930 -3 -3 -13
1940 -3 -2 -13
1950 -3 0 -13
1960 -5 -3 -15
1970 -5 -3 -15
1980 -4 -2 -15
1990 -3 -2 -15
2000 -4 -2 -15
2010 -5 -2 -13
2020 -4 -2 -12
2030 -4 -2 -13
2040 -3 -5 -15
2050 -2 -4 -14
2060 -3 -4 -13
2070 -6 -5 -14
2080 -7 -5 -14
2090 -5 -3 -13
2100 -3 -2 -13
2110 -2 2 -13
2120 -2 0 -15
2130 -2 -4 -14
2140 -4 -2 -14
2150 -4 1 -15
2160 -4 1 -15
2170 -6 -2 -17
2180 -6 0 -13
2190 -4 0 -13
2200 -4 -3 -14
2210 -4 -5 -14
2220 -3 -2 -13
2230 -4 -3 -14
2240 -5 -5 -14
2250 -4 -4 -14
2260 -4 -4 -15
2270 -5 -2 -17
2280 -6 -2 -17
2290 -4 -2 -15
2300 -4 -3 -15
2310 -4 -2 -14
2320 -4 0 -15
2330 -3 -2 -17
2340 -4 -2 -15
2350 -4 -2 -13
2360 -4 0 -13
2370 -4 -2 -14
2380 -3 -3 -15
2390 -3 -5 -17
2400 -4 -4 -17
2410 -5 -2 -15
2420 -5 -3 -17
2430 -3 -5 -17
2440 -3 -6 -17
2450 -4 -5 -15
2460 -4 -3 -13
2470 -4 -2 -12
2480 -3 -3 -13
2490 -4 -4 -14
2500 -4 -4 -15
2510 -4 -2 -15
2520 -5 -2 -13
2530 -3 -2 -11
2540 -3 0 -10
2550 -5 -3 -13
2560 -5 -4 -14
2570 -3 -3 -13
2580 -2 0 -13
2590 -3 -2 -13
2600 -3 -4 -14
2610 -4 -3 -17
2620 -4 0 -17
2630 -3 0 -14
2640 -3 -2 -13
2650 -3 0 -12
2660 -3 1 -12
2670 -3 -2 -15
2680 -3 -3 -15
2690 -4 -3 -12
2700 -5 -3 -13
2710 -4 -3 -15
2720 -4 -2 -15
2730 -4 -2 -14
2740 -4 -3 -15
2750 -4 -2 -15
2760 -4 -3 -14
2770 -4 -2 -15
2780 -4 0 -14
2790 -4 0 -15
2800 -4 0 -17
2810 -5 -4 -17
2820 -5 -4 -17
2830 -4 -3 -17
2840 -3 -3 -15
2850 -3 -2 -14
2860 -3 0 -14
2870 -4 0 -14
2880 -3 -2 -15
2890 -4 -3 -14
2900 -3 -4 -11
2910 -2 -4 -12
2920 -4 -5 -14
2930 -2 -2 -14
2940 0 0 -12
2950 -2 -3 -13
2960 -3 -4 -15
2970 -4 -4 -14
2980 -4 -4 -14
2990 -4 -3 -14
3000 -3 -2 -13
3010 -3 -3 -13
3020 -3 -3 -15
3030 -4 0 -15
3040 -4 -2 -13
3050 -4 -2 -13
3060 -4 -2 -14
3070 -4 -5 -15
3080 -3 -5 -13
3090 -3 -4 -12
3100 -4 -4 -12
3110 -4 -4 -13
3120 -4 -5 -15
3130 -5 -4 -14
3140 -4 0 -13
3150 -4 -3 -13
3160 -3 -5 -14
3170 -2 -4 -15
3180 -4 -2 -13
3190 -4 0 -13
3200 -4 0 -14
3210 -5 -2 -15
3220 -6 -3 -17
3230 -5 -2 -17
3240 -5 -3 -15
3250 -4 -4 -14
3260 -4 -3 -15
3270 -5 -2 -17
3280 -5 0 -15
3290 -2 0 -14
3300 -3 -2 -13
3310 -4 -4 -14
3320 -2 -3 -12
3330 0 1 -11
3340 -2 -2 -13
3350 -5 -4 -14
3360 -4 -4 -14
3370 -3 -4 -15
3380 -4 -4 -15
3390 -4 -4 -14
3400 -3 -5 -14
3410 -4 -4 -13
3420 -3 -3 -12
3430 -3 0 -13
3440 -3 2 -15
3450 -4 -2 -13
3460 -4 -3 -15
3470 -4 -3 -17
3480 -4 -2 -13
3490 -4 -2 -14
3500 -5 -3 -15
3510 -5 -3 -15
3520 -2 -2 -15
3530 0 1 -17
3540 -3 -2 -14
3550 -4 -3 -11
3560 -4 0 -13
3570 -4 -3 -13
3580 -2 -2 -12
3590 -2 1 -13
3600 -4 0 -14
3610 -5 0 -15
3620 -4 -2 -14
3630 -5 -4 -14
3640 -5 -6 -15
3650 -5 -6 -14
3660 -4 -2 -14
3670 -3 2 -13
3680 -5 0 -13
3690 -5 -4 -13
3700 -4 -2 -14
3710 -4 -3 -13
3720 -5 -4 -11
3730 -5 -4 -14
3740 -3 -3 -14
3750 -2 -3 -14
3760 -2 -3 -12
3770 -2 -4 -12
3780 -3 -4 -14
3790 -4 -4 -14
3800 -4 -4 -14
