Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\Scope Project.csv" 
"Starttime of export" 133020853977090000 "dinsdag 12 juli 2022" 09:43:17.709 
"Endtime of export" 133020859536590000 "dinsdag 12 juli 2022" 09:52:33.659 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]

0 1.46888733 4.432007 0.535491943 1 -184 -178 971 0 0
10 0.730316162 1.69677734 2.11242676 1 -185 -180 973 0 0
20 1.04177856 0.179260254 3.734253 1 -184 -178 971 0 0
30 2.3898468 3.520996 0.489974976 1 -181 -175 971 0 0
40 1.4703064 5.44573975 0.782608032 1 -180 -175 976 0 0
50 2.53883362 0.308288574 5.31570435 1 -183 -180 977 0 0
60 2.1245575 2.93829346 2.73550415 1 -183 -182 976 0 0
70 0.6639404 1.01611328 0.345062256 1 -182 -181 976 0 0
80 0.7098999 3.7230835 1.64880371 1 -183 -180 977 0 0
90 0.430511475 0.6906738 1.31317139 1 -184 -180 976 0 0
100 0.459945679 1.30358887 4.01506042 1 -185 -177 973 0 0
110 1.71653748 1.53027344 5.02987671 1 -184 -178 972 0 0
120 0.3695526 2.30291748 0.597549438 1 -183 -181 972 0 0
130 1.0272522 4.584717 1.09776306 1 -182 -182 975 0 0
140 0.3073578 0.4909668 0.391342163 1 -181 -183 975 0 0
150 3.59643555 2.055481 3.29644775 1 -177 -180 973 0 0
160 4.34506226 4.67572 1.04649353 1 -177 -176 976 0 0
170 2.71411133 0.6802368 7.11882 1 -182 -181 976 0 0
180 4.360779 1.25396729 5.903946 1 -180 -181 973 0 0
190 0.168823242 1.46832275 0.398162842 1 -176 -176 972 0 0
200 5.35856628 3.18640137 1.51187134 1 -180 -176 973 0 0
210 3.217987 1.26873779 1.75634766 1 -181 -178 971 0 0
220 3.42539978 4.763611 2.113083 1 -182 -177 971 0 0
230 4.054367 1.35577393 3.20025635 1 -181 -178 973 0 0
240 0.7362366 1.39990234 0.380691528 1 -177 -180 972 0 0
250 3.56111145 1.27050781 0.9799652 1 -179 -181 971 0 0
260 1.51669312 2.43304443 1.25061035 1 -180 -181 971 0 0
270 3.72421265 2.40979 0.326873779 1 -175 -180 972 0 0
280 4.21653748 2.31915283 1.70713806 1 -175 -178 973 0 0
290 3.62908936 1.40252686 3.92692566 1 -181 -180 973 0 0
300 2.47296143 2.36322021 3.16477966 1 -182 -180 973 0 0
310 0.6677551 4.51971436 2.55162048 1 -180 -180 976 0 0
320 0.526947 0.467590332 1.99154663 1 -180 -180 976 0 0
330 1.60598755 3.02056885 1.67184448 1 -182 -180 975 0 0
340 1.6907196 0.9254761 3.23675537 1 -182 -178 975 0 0
350 1.93013 3.81005859 5.206543 1 -179 -180 976 0 0
360 5.05380249 0.1459961 6.14697266 1 -182 -178 976 0 0
370 5.30007935 3.51086426 4.46961975 1 -181 -177 976 0 0
380 0.3071289 1.45996094 2.85929871 1 -177 -177 977 0 0
390 2.768341 1.21600342 2.88090515 1 -179 -177 976 0 0
400 1.15304565 1.48187256 0.806259155 1 -182 -178 975 0 0
410 1.2928772 2.31005859 3.81900024 1 -182 -181 975 0 0
420 0.7800751 1.43634033 2.634613 1 -182 -182 972 0 0
430 0.2089386 2.93438721 1.4466095 1 -183 -182 970 0 0
440 1.4928894 1.0223999 1.632904 1 -182 -182 970 0 0
450 0.208053589 4.71984863 0.0237426758 1 -181 -181 972 0 0
460 0.882492065 2.36938477 0.950439453 1 -180 -180 975 0 0
470 1.20149231 0.537231445 0.927520752 1 -180 -178 973 0 0
480 2.46180725 4.0793457 3.52893066 1 -183 -180 973 0 0
490 0.2922821 0.008239746 1.66993713 1 -185 -181 973 0 0
500 0.443847656 3.71429443 3.24589539 1 -185 -183 973 0 0
510 2.13592529 3.36212158 4.127228 1 -183 -182 976 0 0
520 1.830246 0.6331787 3.17515564 1 -183 -182 976 0 0
530 3.32855225 0.08874512 6.596283 1 -181 -178 973 0 0
540 1.26737976 2.53442383 6.27757263 1 -179 -178 972 0 0
550 0.960220337 2.28930664 0.200775146 1 -180 -182 973 0 0
560 1.80343628 3.53393555 0.16003418 1 -182 -182 975 0 0
570 0.417068481 0.459106445 2.08605957 1 -183 -180 975 0 0
580 0.841171265 4.248657 2.04145813 1 -182 -180 976 0 0
590 3.805893 1.18499756 1.30525208 1 -185 -180 975 0 0
600 1.59797668 0.771789551 1.34112549 1 -187 -180 971 0 0
610 2.58314514 2.05413818 3.79847717 1 -184 -177 970 0 0
620 0.123168945 3.83099365 4.040436 1 -182 -177 972 0 0
630 2.45150757 3.18670654 1.41812134 1 -184 -178 975 0 0
640 1.05229187 1.18823242 0.550415039 1 -187 -177 973 0 0
650 4.48718262 3.815857 1.17019653 1 -184 -178 972 0 0
660 0.817214966 0.243835449 1.32301331 1 -181 -180 972 0 0
670 2.25740051 4.39141846 1.32226563 1 -183 -180 973 0 0
680 0.511673 0.2952881 1.11643982 1 -184 -178 973 0 0
690 0.553070068 3.94549561 1.29232788 1 -183 -178 973 0 0
700 1.257782 0.106201172 0.6886444 1 -181 -178 973 0 0
710 0.7403717 1.517273 0.14453125 1 -180 -177 971 0 0
720 2.24871826 3.22607422 0.639083862 1 -182 -177 972 0 0
730 0.5641327 3.73413086 0.9289856 1 -183 -178 975 0 0
740 0.5561676 2.70056152 1.379837 1 -182 -180 972 0 0
750 0.70022583 5.068054 1.46864319 1 -182 -180 971 0 0
760 1.67575073 0.0764160156 1.07510376 1 -184 -178 972 0 0
770 3.58143616 3.61358643 3.20039368 1 -182 -180 972 0 0
780 4.17495728 0.614990234 0.758392334 1 -183 -182 971 0 0
