Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ReplayNoWM_meas.csv" 
"Starttime of export" 133020803605410000 "dinsdag 12 juli 2022" 08:19:20.541 
"Endtime of export" 133020809192010000 "dinsdag 12 juli 2022" 08:28:39.201 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]

0 2.79466248 4.52355957 5.04402161 1 -182 -185 972 0 0
10 2.79678345 0.563476563 4.79437256 1 -182 -185 973 0 0
20 0.7626953 2.12805176 0.7923279 1 -183 -189 972 0 0
30 0.215606689 0.256896973 2.10638428 1 -182 -188 970 0 0
40 2.57066345 1.86730957 2.394333 1 -184 -184 968 0 0
50 1.174469 4.00054932 1.8914032 1 -185 -183 970 0 0
60 1.34622192 1.102478 1.53070068 1 -183 -185 971 0 0
70 0.3508606 4.665222 0.123550415 1 -182 -186 973 0 0
80 1.20387268 0.563476563 2.046997 1 -183 -184 973 0 0
90 0.779891968 1.16534424 2.21186829 1 -183 -184 970 0 0
100 0.200958252 3.609558 0.285125732 1 -182 -185 971 0 0
110 0.434158325 2.38745117 3.38723755 1 -181 -188 973 0 0
120 3.93296814 1.46551514 3.303543 1 -184 -188 973 0 0
130 2.34567261 1.362854 3.21511841 1 -185 -189 972 0 0
140 1.523056 2.47717285 3.11660767 1 -185 -189 972 0 0
150 1.45910645 2.47290039 0.892089844 1 -185 -186 973 0 0
160 0.0172119141 0.5239868 3.201645 1 -184 -188 971 0 0
170 0.134185791 2.15014648 2.63606262 1 -184 -188 969 0 0
180 1.044632 1.7434082 0.90663147 1 -185 -185 969 0 0
190 0.909408569 3.13171387 5.503311 1 -185 -189 970 0 0
200 2.709793 0.8817749 1.755661 1 -187 -192 970 0 0
210 0.604949951 2.95068359 0.5781708 1 -189 -191 970 0 0
220 2.27992249 1.86785889 2.011139 1 -187 -189 967 0 0
230 2.27644348 3.42230225 1.7888031 1 -183 -189 965 0 0
240 2.706314 4.57135 2.24394226 1 -183 -188 969 0 0
250 3.42501831 1.46166992 0.2303772 1 -181 -186 968 0 0
260 4.818207 3.92504883 0.7005005 1 -182 -186 967 0 0
270 1.20355225 0.100708008 2.17129517 1 -184 -188 967 0 0
280 2.04638672 6.588684 0.3750763 1 -185 -190 970 0 0
290 1.76153564 0.7713623 4.677368 1 -185 -186 973 0 0
300 0.3508911 3.0065918 3.48387146 1 -184 -185 973 0 0
310 0.9418335 0.9718628 1.920044 1 -185 -185 973 0 0
320 1.7731781 0.8255005 2.25001526 1 -184 -185 971 0 0
330 0.3314209 2.93469238 0.204925537 1 -182 -186 971 0 0
340 0.0396270752 2.99194336 2.41281128 1 -181 -188 973 0 0
350 0.846344 0.919189453 4.20315552 1 -181 -186 973 0 0
360 2.995926 1.78601074 5.68505859 1 -184 -188 972 0 0
370 0.47102356 3.07373047 3.75852966 1 -187 -189 973 0 0
380 3.136963 0.9812622 1.62875366 1 -185 -188 973 0 0
390 4.4112854 1.81811523 1.30918884 1 -187 -188 972 0 0
400 2.03138733 1.10852051 2.91693115 1 -189 -184 971 0 0
410 0.19291687 2.79071045 1.40080261 1 -188 -182 971 0 0
420 4.21495056 2.25213623 1.24815369 1 -184 -183 972 0 0
430 4.04885864 2.64666748 0.852798462 1 -184 -184 973 0 0
440 0.333847046 1.70788574 1.76324463 1 -187 -186 970 0 0
450 2.47544861 5.279236 1.525711 1 -185 -186 970 0 0
460 1.31997681 0.05444336 1.16223145 1 -184 -186 971 0 0
470 1.51908875 2.72363281 1.05870056 1 -183 -188 970 0 0
480 6.90486145 0.797973633 5.31936646 1 -188 -184 968 0 0
490 7.103195 3.48352051 4.925354 1 -187 -184 967 0 0
500 0.5026398 2.60723877 1.38121033 1 -181 -186 969 0 0
510 1.683609 3.26086426 0.0749053955 1 -181 -185 971 0 0
520 1.697815 0.674743652 4.19926453 1 -183 -189 971 0 0
530 1.03381348 4.048767 2.11903381 1 -185 -191 972 0 0
540 1.05526733 0.05731201 2.35997 1 -187 -188 972 0 0
550 4.363632 1.69354248 3.1438446 1 -184 -183 970 0 0
560 2.81059265 2.15301514 6.782669 1 -183 -186 970 0 0
570 1.73016357 0.282958984 1.85369873 1 -183 -193 968 0 0
580 1.82342529 3.91046143 6.96936035 1 -183 -189 968 0 0
590 0.9219818 2.13671875 1.45635986 1 -185 -185 970 0 0
600 1.863327 0.778198242 0.7822418 1 -184 -186 969 0 0
610 1.65704346 2.97814941 1.09283447 1 -184 -185 969 0 0
620 3.1587677 1.9979248 1.57954407 1 -182 -185 970 0 0
630 1.84341431 0.164123535 0.3243103 1 -177 -186 968 0 0
640 3.15438843 3.67120361 0.009887695 1 -177 -186 968 0 0
650 2.82620239 3.22229 1.76100159 1 -181 -184 971 0 0
660 2.0925293 2.71813965 0.878356934 1 -181 -181 973 0 0
670 1.83836365 0.8278198 4.04072571 1 -181 -183 971 0 0
680 2.68507385 2.36340332 2.348053 1 -185 -188 969 0 0
690 3.9203186 4.58056641 1.36035156 1 -184 -192 972 0 0
700 1.79910278 2.56121826 3.6499176 1 -183 -191 975 0 0
710 1.43447876 0.645202637 4.01246643 1 -183 -185 973 0 0
720 0.183532715 1.24047852 1.02587891 1 -182 -182 970 0 0
730 1.1443634 1.520752 2.60913086 1 -183 -184 969 0 0
740 1.11643982 2.29101563 3.56811523 1 -185 -189 969 0 0
