Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ReplayNoWM_meas.csv" 
"Starttime of export" 133020839891020000 "dinsdag 12 juli 2022" 09:19:49.102 
"Endtime of export" 133020845435520000 "dinsdag 12 juli 2022" 09:29:03.552 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]

0 0.479354858 0.15826416 2.14936829 1 -180 -180 972 0 0
10 1.11198425 3.45263672 1.47854614 1 -181 -180 972 0 0
20 2.69506836 3.51068115 4.333618 1 -179 -177 975 0 0
30 1.18986511 1.5859375 4.132965 1 -175 -177 973 0 0
40 6.41922 4.912842 1.7457428 1 -179 -178 973 0 0
50 4.87449646 1.84448242 3.61936951 1 -179 -180 972 0 0
60 0.866577148 2.238037 3.18197632 1 -174 -180 969 0 0
70 3.0594635 0.452331543 2.36233521 1 -175 -180 968 0 0
80 0.4209137 5.08410645 1.99266052 1 -177 -180 970 0 0
90 2.91465759 3.961792 1.54983521 1 -180 -180 975 0 0
100 1.79197693 0.03881836 1.2406311 1 -181 -180 975 0 0
110 1.12832642 1.59088135 0.967254639 1 -179 -178 973 0 0
120 0.953949 1.14782715 1.34654236 1 -179 -178 972 0 0
130 1.3089447 3.54620361 3.40994263 1 -181 -182 973 0 0
140 1.41673279 2.43206787 3.30979919 1 -181 -182 975 0 0
150 0.881011963 1.43383789 0.2314148 1 -181 -180 975 0 0
160 0.8667755 0.331176758 0.0305480957 1 -181 -180 973 0 0
170 0.6004486 3.323059 1.81234741 1 -181 -178 973 0 0
180 1.48475647 0.370361328 4.1545105 1 -183 -180 972 0 0
190 0.358978271 4.997864 2.23181152 1 -185 -181 973 0 0
200 2.06271362 1.2097168 0.644165039 1 -184 -180 975 0 0
210 1.68431091 0.4052124 0.338027954 1 -181 -180 972 0 0
220 3.18482971 3.98028564 0.4524231 1 -176 -180 972 0 0
230 2.110321 1.07757568 2.18144226 1 -174 -178 971 0 0
240 6.033554 2.43255615 2.42659 1 -180 -178 969 0 0
250 4.829712 1.41040039 1.62989807 1 -180 -181 969 0 0
260 2.89509583 2.33074951 1.57002258 1 -179 -181 969 0 0
270 0.0262298584 3.47937 1.91412354 1 -181 -178 971 0 0
280 1.823761 0.4906006 2.18310547 1 -183 -178 971 0 0
290 2.04072571 4.224182 2.19995117 1 -183 -177 972 0 0
300 4.784622 0.8626709 0.529953 1 -177 -174 973 0 0
310 3.9241333 0.247009277 4.76063538 1 -176 -177 970 0 0
320 0.9832306 2.730896 0.4787445 1 -179 -180 969 0 0
330 0.565567 4.120056 3.07640076 1 -179 -177 972 0 0
340 1.66366577 0.8699341 2.8806 1 -180 -177 973 0 0
350 4.361664 0.817260742 2.055313 1 -177 -181 971 0 0
360 7.18927 3.79785156 2.32633972 1 -180 -181 972 0 0
370 5.85968 1.18261719 1.63760376 1 -180 -178 973 0 0
380 4.63764954 2.536621 1.70651245 1 -180 -178 973 0 0
390 4.714447 1.3168335 0.980880737 1 -179 -180 973 0 0
400 1.03388977 2.39263916 2.97683716 1 -176 -178 973 0 0
410 3.10620117 0.6427002 1.76789856 1 -179 -177 971 0 0
420 0.5846863 3.15759277 0.8230896 1 -182 -177 970 0 0
430 1.072464 3.80426025 1.15609741 1 -182 -177 973 0 0
440 2.42333984 0.7793579 2.49455261 1 -184 -180 972 0 0
450 2.706314 2.388977 1.38041687 1 -184 -181 970 0 0
460 1.39985657 6.53582764 0.592437744 1 -181 -181 975 0 0
470 0.5827179 1.26501465 0.157684326 1 -179 -182 976 0 0
480 3.200882 4.71124268 0.623016357 1 -181 -182 976 0 0
490 0.406387329 0.6218262 0.8491821 1 -183 -181 976 0 0
500 0.9782257 2.77728271 0.701507568 1 -182 -181 969 0 0
510 0.195037842 2.13946533 0.491882324 1 -181 -181 965 0 0
520 1.56073 6.69177246 0.4945221 1 -179 -181 970 0 0
530 1.97850037 0.550292969 0.281112671 1 -179 -181 973 0 0
540 1.02963257 0.0785522461 0.354324341 1 -181 -181 970 0 0
550 0.7729187 1.54882813 0.136474609 1 -181 -181 968 0 0
560 0.692108154 6.225464 2.73197937 1 -181 -178 972 0 0
570 0.453155518 0.9838867 1.09382629 1 -181 -176 973 0 0
580 0.522079468 0.504455566 2.37219238 1 -180 -178 969 0 0
590 2.77072144 3.14257813 1.61695862 1 -182 -181 969 0 0
600 0.364532471 2.81304932 1.60614014 1 -184 -181 971 0 0
610 1.24647522 1.15368652 1.07498169 1 -183 -181 971 0 0
620 0.155853271 4.623352 1.98587036 1 -182 -180 973 0 0
630 1.72203064 1.47753906 1.77519226 1 -180 -180 975 0 0
640 2.00045776 2.26422119 0.761871338 1 -180 -182 975 0 0
650 0.9260254 1.44311523 0.9285126 1 -182 -182 972 0 0
660 1.75749207 2.93896484 1.46208191 1 -181 -180 970 0 0
670 0.6590271 0.9725952 0.448989868 1 -180 -178 970 0 0
680 1.938446 4.72003174 3.196106 1 -182 -180 972 0 0
690 0.607650757 0.6074829 1.36837769 1 -183 -181 972 0 0
700 0.7537689 4.20922852 0.030960083 1 -182 -180 972 0 0
710 0.315841675 1.14898682 0.212173462 1 -181 -180 971 0 0
720 1.5823822 2.650879 1.055542 1 -182 -181 969 0 0
730 2.20281982 1.25354 3.87869263 1 -181 -178 969 0 0
740 2.07951355 2.4888916 3.86352539 1 -181 -178 969 0 0
750 1.37763977 2.37713623 0.4609375 1 -181 -180 970 0 0
760 3.36425781 2.47814941 1.395401 1 -183 -181 971 0 0
770 1.909729 5.43170166 0.310531616 1 -184 -182 975 0 0
780 0.168869019 0.204772949 0.121322632 1 -183 -182 976 0 0
790 2.147171 1.15551758 1.15306091 1 -181 -181 971 0 0
800 1.20178223 2.65533447 1.02287292 1 -180 -181 969 0 0
810 0.684890747 2.20379639 1.301651 1 -181 -183 970 0 0
820 1.76594543 2.633484 0.5920563 1 -183 -185 971 0 0
830 1.59063721 2.291626 3.21882629 1 -183 -183 972 0 0
840 3.17121887 1.40124512 1.535141 1 -185 -182 969 0 0
850 5.04515076 4.96606445 2.961258 1 -183 -180 969 0 0
860 1.13945007 2.18988037 1.11828613 1 -180 -178 972 0 0
870 0.0957183838 0.6209717 0.227172852 1 -180 -178 971 0 0
880 0.247818 2.03442383 2.733307 1 -179 -180 970 0 0
890 3.993927 3.74115 1.934906 1 -182 -180 972 0 0
900 1.22592163 1.27313232 2.77708435 1 -184 -181 973 0 0
910 1.46899414 2.53881836 3.25758362 1 -182 -180 973 0 0
920 1.3210144 0.353759766 2.86349487 1 -182 -180 972 0 0
930 1.90742493 3.32006836 0.05215454 1 -181 -182 972 0 0
940 2.91122437 1.6282959 0.235702515 1 -182 -182 973 0 0
950 1.22035217 2.17327881 0.008544922 1 -183 -182 973 0 0
960 1.13282776 3.70532227 1.1089325 1 -181 -181 975 0 0
970 0.3222351 3.718811 1.09336853 1 -180 -181 971 0 0
980 0.328887939 6.941101 1.33180237 1 -180 -183 971 0 0
990 1.23454285 0.651855469 3.366745 1 -181 -181 973 0 0
1000 1.79232788 6.204712 1.99661255 1 -180 -180 975 0 0
1010 0.8565674 1.98828125 0.07550049 1 -179 -181 975 0 0
1020 3.09028625 1.36352539 2.74183655 1 -176 -178 971 0 0
1030 6.659958 0.71875 6.138794 1 -179 -181 968 0 0
1040 0.0620269775 1.223877 3.88171387 1 -184 -182 965 0 0
1050 0.8681183 2.58770752 0.9186249 1 -184 -180 965 0 0
1060 0.9909668 5.358032 0.6558838 1 -183 -181 969 0 0
1070 0.471923828 0.159484863 2.56230164 1 -182 -184 970 0 0
1080 0.5616913 5.78302 2.6933136 1 -181 -184 972 0 0
1090 1.76921082 1.41223145 0.311630249 1 -182 -182 975 0 0
1100 1.3550415 0.368347168 0.42300415 1 -182 -182 973 0 0
1110 1.8341217 1.30786133 0.159057617 1 -179 -182 971 0 0
1120 3.25885 4.39520264 0.689666748 1 -180 -181 973 0 0
1130 1.17791748 1.63989258 0.01838684 1 -181 -180 975 0 0
1140 0.9144745 0.857177734 0.637420654 1 -179 -180 972 0 0
1150 2.33641052 2.345581 0.0183410645 1 -180 -180 970 0 0
1160 0.593139648 2.486145 0.436416626 1 -181 -180 971 0 0
1170 0.495773315 3.38238525 1.03790283 1 -181 -181 973 0 0
1180 2.342392 0.424621582 0.7447815 1 -179 -181 972 0 0
1190 0.411071777 3.95703125 0.299346924 1 -177 -180 972 0 0
1200 4.58918762 3.96954346 0.6061859 1 -181 -180 976 0 0
1210 4.836502 0.9511719 0.167892456 1 -180 -180 975 0 0
1220 1.00189209 1.45513916 1.41947937 1 -177 -181 972 0 0
1230 3.02539063 2.222107 1.12408447 1 -180 -181 972 0 0
1240 0.568557739 2.60003662 0.9440918 1 -183 -181 973 0 0
1250 2.12138367 3.32659912 0.314880371 1 -182 -182 975 0 0
1260 0.443283081 0.6488037 0.412445068 1 -181 -182 975 0 0
1270 1.28700256 3.03540039 1.243042 1 -180 -183 975 0 0
1280 1.64941406 1.1348877 2.27368164 1 -177 -182 973 0 0
1290 6.296417 3.55181885 0.8937988 1 -181 -181 972 0 0
1300 1.16017151 3.42425537 0.6332092 1 -185 -182 975 0 0
1310 2.05252075 1.62811279 0.551452637 1 -183 -183 976 0 0
1320 1.62672424 0.8024292 2.60673523 1 -180 -181 973 0 0
1330 1.817337 4.31726074 0.5001526 1 -180 -178 973 0 0
1340 0.0104064941 2.289978 4.510559 1 -181 -181 971 0 0
1350 1.158371 5.67956543 2.44979858 1 -182 -182 971 0 0
1360 0.00131225586 0.47088623 0.8691559 1 -183 -181 972 0 0
1370 0.250732422 4.086426 0.4789276 1 -183 -181 972 0 0
1380 2.957672 0.9838867 0.588501 1 -180 -181 973 0 0
1390 3.97401428 1.7086792 0.273788452 1 -181 -181 972 0 0
1400 2.89666748 3.0791626 0.411117554 1 -181 -181 973 0 0
1410 1.42216492 3.84643555 0.85672 1 -177 -182 976 0 0
1420 8.30632 2.93328857 1.24325562 1 -183 -184 973 0 0
1430 5.0839386 6.303833 2.50628662 1 -185 -183 973 0 0
1440 1.29927063 1.965332 0.106781006 1 -183 -181 973 0 0
1450 4.143463 5.42980957 0.539672852 1 -180 -181 973 0 0
1460 0.9658203 1.29296875 0.0391540527 1 -177 -181 973 0 0
1470 0.46647644 6.691345 0.3779602 1 -177 -181 975 0 0
1480 2.63778687 2.4921875 0.002166748 1 -179 -181 975 0 0
1490 1.74777222 3.81921387 0.275604248 1 -179 -181 973 0 0
1500 0.286224365 0.139770508 0.0345001221 1 -177 -181 973 0 0
1510 0.0301513672 3.40692139 0.2093811 1 -176 -181 973 0 0
1520 3.86808777 1.55456543 1.053772 1 -179 -182 971 0 0
1530 2.09838867 4.979004 1.87931824 1 -180 -181 971 0 0
1540 2.4770813 1.12109375 0.760910034 1 -181 -180 973 0 0
1550 1.33654785 4.614441 0.8774719 1 -182 -181 975 0 0
1560 0.5971527 0.5081787 0.461166382 1 -182 -182 975 0 0
1570 0.813552856 4.100708 1.4535675 1 -182 -181 975 0 0
1580 1.42498779 0.04827881 0.3826294 1 -183 -180 975 0 0
1590 2.51115417 0.7071533 2.15304565 1 -182 -182 972 0 0
1600 2.98350525 4.00402832 1.82316589 1 -183 -182 973 0 0
1610 2.59661865 2.05834961 1.415329 1 -183 -182 975 0 0
1620 1.04537964 1.80896 1.13005066 1 -180 -182 975 0 0
1630 2.47247314 3.96575928 0.9442444 1 -181 -182 977 0 0
1640 1.66801453 1.04760742 1.6882019 1 -181 -181 978 0 0
1650 2.38356018 0.6744995 2.69087219 1 -177 -182 976 0 0
1660 5.086197 1.92144775 0.904266357 1 -179 -185 975 0 0
1670 0.4285736 1.84552 2.38786316 1 -183 -184 975 0 0
1680 0.8413849 0.9959717 0.317596436 1 -183 -182 972 0 0
1690 2.68634033 5.56011963 1.62171936 1 -180 -183 973 0 0
1700 2.59945679 2.5916748 2.221283 1 -180 -182 977 0 0
1710 0.314971924 3.26348877 1.12289429 1 -182 -181 979 0 0
1720 0.6347351 1.29595947 1.65887451 1 -183 -183 977 0 0
1730 1.20574951 3.82928467 2.3487854 1 -185 -182 976 0 0
1740 2.61341858 0.2600708 1.15130615 1 -184 -181 976 0 0
1750 1.148529 3.44854736 2.58087158 1 -181 -184 976 0 0
1760 0.464447021 0.488952637 4.384201 1 -180 -182 975 0 0
1770 0.324172974 2.033142 1.79862976 1 -180 -180 973 0 0
1780 1.3217926 3.7644043 2.67155457 1 -181 -178 975 0 0
1790 4.79296875 1.22937012 2.26956177 1 -177 -177 976 0 0
1800 5.001999 2.42230225 0.6487732 1 -177 -177 976 0 0
1810 0.05166626 0.350219727 1.46098328 1 -180 -177 975 0 0
1820 3.12442017 3.28405762 0.5977173 1 -183 -178 975 0 0
1830 0.9064789 1.289917 2.898346 1 -187 -181 973 0 0
1840 5.08311462 3.91448975 0.258605957 1 -184 -184 972 0 0
1850 2.731903 0.1607666 2.2542572 1 -183 -183 972 0 0
1860 0.178482056 6.51513672 1.2714386 1 -185 -183 975 0 0
1870 1.26843262 0.159423828 2.39994812 1 -184 -182 977 0 0
1880 1.03492737 3.82415771 2.09124756 1 -182 -178 977 0 0
1890 2.292328 0.806152344 2.70095825 1 -183 -178 976 0 0
1900 1.662674 1.38378906 0.680542 1 -183 -180 973 0 0
1910 0.5005188 0.4130249 0.651306152 1 -182 -181 971 0 0
1920 0.0005187988 3.26428223 0.419937134 1 -182 -182 971 0 0
1930 1.35317993 1.69873047 1.59614563 1 -183 -181 972 0 0
