Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ScalingNoWM_meas.csv" 
"Starttime of export" 133020893269090000 "dinsdag 12 juli 2022" 10:48:46.909 
"Endtime of export" 133020898800590000 "dinsdag 12 juli 2022" 10:58:00.059 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]

0 5.7802887 0.864685059 1.618515 1 -180 -176 975 0 0
10 3.5478363 0.179321289 0.8778229 1 -181 -177 972 0 0
20 1.69862366 4.783081 3.00282288 1 -180 -180 973 0 0
30 4.199234 2.293579 2.56890869 1 -177 -180 976 0 0
40 3.21658325 2.46759033 2.957077 1 -176 -181 977 0 0
50 4.36566162 0.289672852 2.65698242 1 -182 -181 976 0 0
60 5.1098175 3.38519287 2.93746948 1 -181 -182 976 0 0
70 4.869919 1.57592773 1.70832825 1 -182 -183 977 0 0
80 2.26091 2.22503662 2.1232605 1 -184 -180 977 0 0
90 0.0980987549 2.68475342 2.10655212 1 -183 -180 978 0 0
100 2.364563 0.246643066 0.327331543 1 -181 -181 977 0 0
110 1.16697693 1.39550781 0.3334961 1 -180 -181 975 0 0
120 1.5500946 0.3392334 0.168502808 1 -182 -181 973 0 0
130 1.2868042 5.335144 2.74549866 1 -182 -178 975 0 0
140 0.0350799561 0.161560059 2.0750885 1 -181 -177 976 0 0
150 1.75378418 3.76269531 0.6869507 1 -179 -177 976 0 0
160 4.118927 0.8133545 2.34359741 1 -181 -178 975 0 0
170 0.16053772 2.35046387 1.53117371 1 -184 -181 973 0 0
180 3.42349243 3.57012939 1.621521 1 -181 -181 975 0 0
190 4.03964233 0.4041748 0.0202026367 1 -182 -180 975 0 0
200 3.18911743 3.27563477 4.94545 1 -182 -175 975 0 0
210 0.6234741 1.30853271 6.295624 1 -180 -176 973 0 0
220 0.054107666 6.772217 3.20367432 1 -180 -177 975 0 0
230 2.43179321 1.49963379 3.99115 1 -182 -178 976 0 0
240 4.998352 3.99005127 3.07626343 1 -179 -178 975 0 0
250 5.68617249 0.01751709 2.58415222 1 -180 -178 975 0 0
260 3.79429626 0.612060547 1.06216431 1 -188 -181 972 0 0
270 8.581192 3.22436523 1.46052551 1 -184 -181 972 0 0
280 0.3844757 3.78125 0.72694397 1 -177 -181 975 0 0
290 1.22840881 1.12231445 3.89224243 1 -174 -178 976 0 0
300 3.86091614 2.451355 3.65829468 1 -175 -178 976 0 0
310 3.186493 2.28088379 0.5358429 1 -180 -181 977 0 0
320 1.32858276 1.54827881 1.78059387 1 -184 -180 977 0 0
330 3.05072021 0.296325684 0.562072754 1 -183 -178 975 0 0
340 0.07194519 1.39868164 4.000824 1 -181 -181 973 0 0
350 0.150863647 0.360290527 3.479126 1 -181 -181 971 0 0
360 4.01405334 4.29467773 0.392272949 1 -177 -178 972 0 0
370 3.2565155 0.6647339 2.96324158 1 -176 -180 973 0 0
380 3.480301 1.9107666 6.32489 1 -181 -176 972 0 0
390 0.9444275 4.902832 5.13327026 1 -185 -175 975 0 0
400 4.85345459 2.29840088 3.0120697 1 -182 -181 978 0 0
410 1.24581909 0.426879883 0.00384521484 1 -177 -184 976 0 0
420 6.084015 3.91351318 2.17074585 1 -181 -183 976 0 0
430 1.90148926 1.09783936 0.891265869 1 -184 -181 977 0 0
440 0.8383484 1.69897461 1.7633667 1 -184 -182 976 0 0
450 4.169739 2.15594482 2.577835 1 -181 -181 976 0 0
460 2.67599487 2.67663574 1.22395325 1 -180 -180 977 0 0
470 1.39678955 0.8143921 1.43751526 1 -183 -182 975 0 0
480 0.353988647 2.39532471 1.72061157 1 -184 -185 973 0 0
490 1.09684753 3.52807617 6.182312 1 -183 -181 975 0 0
500 0.147521973 1.48510742 0.356811523 1 -182 -176 976 0 0
510 0.369812 2.30096436 3.32537842 1 -182 -178 976 0 0
520 0.05899048 1.5668335 2.86381531 1 -182 -177 976 0 0
530 0.7283478 3.22766113 3.19889832 1 -181 -177 977 0 0
540 0.0296630859 0.7107544 1.18214417 1 -180 -180 977 0 0
550 1.59483337 1.95422363 0.9175873 1 -181 -182 976 0 0
560 1.01390076 0.858276367 3.30476379 1 -183 -180 975 0 0
570 3.010788 2.88952637 0.7354889 1 -181 -178 975 0 0
580 2.75102234 1.01629639 2.01864624 1 -181 -180 975 0 0
590 1.89610291 4.70220947 3.60411072 1 -181 -178 977 0 0
600 0.204528809 0.614563 5.42372131 1 -179 -180 977 0 0
610 3.87858582 2.1260376 4.37992859 1 -182 -180 975 0 0
620 2.20187378 2.727417 1.50982666 1 -183 -178 976 0 0
630 1.48985291 1.208252 3.33102417 1 -183 -182 976 0 0
640 0.631271362 1.57427979 2.20646667 1 -185 -183 975 0 0
650 2.06924438 0.288818359 0.868103 1 -184 -181 973 0 0
660 1.47970581 5.422058 0.742279053 1 -184 -181 975 0 0
670 0.2783203 1.19897461 0.4803772 1 -185 -182 975 0 0
680 1.95635986 4.78179932 2.53398132 1 -187 -180 975 0 0
690 7.19355774 0.442565918 3.44934082 1 -182 -181 976 0 0
700 6.45864868 4.23522949 0.639602661 1 -182 -183 977 0 0
710 2.572174 0.177978516 0.8557892 1 -184 -182 977 0 0
720 1.10110474 3.83996582 0.689849854 1 -183 -182 977 0 0
730 0.5758667 0.2010498 1.50697327 1 -183 -181 977 0 0
740 1.73809814 2.47637939 1.53277588 1 -184 -181 976 0 0
750 0.366119385 1.54901123 0.9290924 1 -185 -181 973 0 0
760 1.88494873 5.0960083 1.9797821 1 -183 -178 973 0 0
770 0.870651245 1.07019043 4.587097 1 -182 -180 975 0 0
780 0.1408081 0.328735352 2.35002136 1 -182 -181 972 0 0
790 3.581833 6.93127441 0.920822144 1 -185 -180 975 0 0
800 0.147674561 2.53546143 0.4232788 1 -188 -180 975 0 0
810 4.759613 7.05072 0.6220856 1 -184 -180 976 0 0
